Q,A,Type,KeywordMatch
我係叫做 | 我係 | 我叫做 | 我個名係 | 我叫 | 你可以叫我做 | 你可以叫我 | 叫我做,好丫，咁我叫你做*,common expression / reply to common expressions,yes
你好 | 嗨 | 您好 | Hi | Hello | hi | hello | 哈囉,你好，有冇咩想話我知?|哈囉|你好!,common expression / reply to common expressions,yes
bye | Bye | 再見 | 拜拜 | 下次再傾 | 下次再講 | 88,得閒再搵我啦，拜拜,common expression / reply to common expressions,yes
你係邊個 | 你叫咩名,我叫做菠蘿仔，最鐘意就係同人傾計,chitchat question / reply to chitchat question,yes
建議,唔好意思 我要再知多少少先決定到,advice request,yes
難過 | 唔開心 | 傷心,事情總會解決嘅，不如你講下係咩令你感到難過吖？ | 我哋一齊諗吓有咩方法可以令你開心啲吖？,encourager,yes
好的 | 好嘅 | 好呀 | 好啊 | 好喎 | 👌,咁就好嘞 | ok | 好吖,encourager,yes
😢 | 😞 | 😔,感受到你覺得唔開心 | 我哋一齊睇下可以點樣令你覺得好啲吖？ | 提起精神💪我會陪你一齊面對呢個難關㗎,encourager,yes
試下 | 試吓 | 好啊 | 好呀 | 好啦,加油呀💪 | 我會為你打氣！ ,encourager,yes
不過 | 但係 | 但,睇嚟都真係幾唔容易 | 咁都真係唔簡單嘅 | 辦法總比困難多，要俾信心自己可以面對呢個難關呀💪,encourager,yes
試過,咁都幾難受 | 睇得出你有努力過，但結果似乎未如理想 | 欣賞你嘅嘗試👍,encourager,yes
希望啦 | 希望,加油💪 | 我相信你做得到！ | 你得嘅！,encourager,yes
唔知點 | 可以點 | 迷茫,不如你講多少少，我哋一齊睇下可以點做吖？ | 你介唔介意講下你試過咩方法啊？ | 如果你嘅朋友面對同樣嘅困難，你會俾咩建議佢呢？,encourager,yes
嘈交 | 嗌交 | 吵架 | 爭執 | 鬧交,可唔可以詳細啲講下你哋點解嘈交？| 點解你哋會鬧交嘅？ | 你哋因為啲咩發生爭執呀？,encourager,yes
壓力 | 驚 | 緊張,你依家吸口氣 放鬆番個人先 詳細d解釋比我知個原因係咩？|我明你既感受,encourager,yes
謝謝 | thx | thanks | thank you | 唔該 | 多謝,唔洗客氣!,common expression / reply to common expressions,yes
辛苦你 | 辛苦曬 | 辛苦晒,唔辛苦～,common expression / reply to common expressions,yes
對不起 | 抱歉 | 不好意思 | 唔好意思,唔緊要,common expression / reply to common expressions,yes
可否 | 可不可以 | 可唔可以,你點解想*?,encourager,yes
你是 | 你係 | 你係咪 | 你係唔係,點解你認為我係*?,encourager,yes
